Grau en Ingenieria Informàtica|240|El Grado en Ingeniería Informática desarrollarás los conocimientos y competencias necesarias para concebir, diseñar, desarrollar, mantener y gestionar sistemas informáticos para problemas que van desde la gestión de la información en el contexto empresarial, pasando por problemas de control y gestión de procesos y dispositivos industriales, hasta problemas de gestión de los servicios e infraestructuras de computación, comunicación y almacenamiento de la información.|EPS (UDL)
Grau en Ingenieria Mecànica|240|L’objectiu general del nou títol de grau en Enginyeria Mecànica és proporcionar una formació adequada de perfil europeu i caràcter generalista sobre les bases teoricotècniques i les tecnologies que habilitin per a l’exercici de la professió d’enginyer tècnic industrial, emmarcada en una capacitat de millora contínua i de transmissió del coneixement.|EPS (UDL)
